company_flag|state|county|city|entity_name|address1|phone|license_number|licensee_type_cd|licensee_type_cd|qualifying_individual
1|AR|Garland|Royal|Windows USA, LLC|235 Sunshine Rd|501-767-4843|KS14-2925|Lead Renovation Firm|Eric Oliver
1|CA|ORANGE|IRVINE|COLLEGE WORKS PAINTING|1682 LANGLEY AVENUE|888-450-9675|KS11-2429|Lead Renovation Firm|SEAN PHELPS
1|CA|ORANGE|ORANGE|AMERICAN TECHNOLOGIES, INC.|210 BAYWOOD AVENUE|714-283-9990|KS11-2489|Lead Renovation Firm|GARY MOORE
1|CA|Sacramento|Gold River|Judson Enterprises Inc. dba K Designers|2440 Gold River Rd. Ste. 100|800-515-2788|KS10-1279|Lead Renovation Firm|Larry D. Judson
1|CO|Adams|Denver|Precision Siding & Construction Co.|7000 Broadway, 3-300|303-289-7952|KS10-1627|Lead Renovation Firm|Jeff Woodward|Kendall Woodward
1|CO|BOULDER|BOULDER|WEECYCLE ENVIRONMENTAL CONSULTING, INC.|5375 WESTERN AVE SUITE B|303-413-0452|KS11-2457|Lead Activity Firm|JUDITH SAWITSKY|LAUREN YORK
1|CO|Morgan|Ft. Morgan|ACR Construction|14521 CR 21|970-370-3122|KS10-1836|Lead Renovation Firm|Fred J. Romero
1|CO|na|Lamar|Tripple A Gutters & Construction|1706 S. 11th St #3|719-688-3666|KS14-2959|Lead Renovation Firm|Shane Poteet
1|FL|N/A|Fort Lauderdale|Seagull Environmental Management|900 NW 5th Ave|800-966-9933|KS14-2824|Lead Activity Firm|James Stump
1|FL|Volusia|Daytona Beach|Builder Services Group Inc.|260 Jimmy Ann Drive|386-304-2260|KS10-1516|Lead Renovation Firm|Patti Shaffer - Risk Operations|Joseph Bolduc - Director
1|GA|COBB|ATLANTA|HOME DEPOT USA, INC.|2455 PACES FERRY RD  C-11 COMPLIANCE|770-433-8211|KS11-2511|Lead Renovation Firm|VANN RILEY
1|GA|COBB|ATLANTA|THD AT-HOME SERVICE INC DBA THE HOME DEPOT AT-HOME SERVICES|2690 CUMBERLAND PKWY SUITE 300|770-779-1453|KS10-1239|Lead Renovation Firm|CHARLES HICKEY|PEGGY PAYNE|ERICA OGAARD
1|GA|COBB|SMYRNA|ROMANOFF FLOOR COVERING INC|3100 JONQUIL DR. SE|770-980-1234|KS12-2594|Lead Renovation Firm|MARK SIMPSON|AARON RIBNER|PAULA GEEKIE
1|GA|NA|Norcross|National Installation Solutions, Inc|4291 Communications Dr|678-325-4430|KS12-2671|Lead Renovation Firm|Hillary Evans
1|IA|BLACK HAWK|WATERLOO|ADVANCED ENVIRONMENTAL TESTING AND ABATEMENT, INC.|803 RICKER STREET|319-287-4447|KS12-2625|Lead Renovation Firm|MICHAEL MASSEY
1|IA||Waterloo|Advanced Environmental Testing and Abatement Inc.|803 Ricker Street|319-287-4447|KS12-2701|Lead Activity Firm|Michael Poe
1|IL|COOK|ARLINGTON HEIGHTS|G.S. FLOOR DESIGNS, INC|855 W UNIVERSITY DRIVE|847-394-4000|KS11-2526|Lead Renovation Firm|REGINA PINKSTON
1|IL|Rock Island|Rock Island|Ostrom Painting & Sandblasting, Inc.|1110 8th Avenue|309-788-1933|KS10-1847|Lead Renovation Firm|David Ostrom
1|KS|ALLEN|IOLA|GROW LLC|1018 MEADOWBROOK ROAD|620-365-6900|KS10-2180|Lead Renovation Firm|MONTY ROGERS|RYAN SPARKS
1|KS|ATCHISON|ATCHISON|MICHAEL S. HUNDLEY CONSTRUCTION INC.|1900 MAIN STREET|913-367-7059|KS13-10461|Lead Renovation Firm|MICHAEL S. HUNDLEY|SHANE M. HUNDLEY
1|KS|Allen|Gas|Burton's Property Management|118 N Taylor / PO Box 183|620-363-2007|KS10-2028|Lead Renovation Firm|Rick Burton
1|KS|Allen|Humboldt|Fewins Real Properties, LLC|1836 Alabama Rd.|620-431-3477|KS10-1883|Lead Renovation Firm|David Fewins
1|KS|Allen|Humboldt|Hofer & Hofer & Associates, Inc.|1201 N 10th Street|620-473-3919|KS11-2353|Lead Renovation Firm|Justin Wintjen
1|KS|Allen|Humboldt|Sparkles Cleaning and Painting|1001 Central|620-228-2048|KS10-1827|Lead Renovation Firm|Brenda Clark
